6;Общежитие №1;ул Орджоникидзе,д 4,г Комсомольск-на-Амуре,Хабаровский край;27:22:0031603:39;1980;1980;0;0;0;1980-01;1980-12;1;0;0;2;Коридорная;Трёхместное и более;Общедомовые;1;0;0;1;0;0;167,2;44,8;0;0;75,6;36,1;0;1;0;0
6;Общежитие №2;ул Пионерская,д 18,г Комсомольск-на-Амуре,Хабаровский край;27:22:0031604:20;1972;1972;0;0;0;1972-01;1972-12;1;0;0;2;Блочная;Трёхместное и более;Общедомовые;1;0;0;1;0;0;102,2;26,8;56,91;56,8;56,2;58,6;0;1;0;0
7;Общежитие;Российская Федерация,665835, Иркутская область, г. Ангарск, квартал 85а, д.14;38:26:0040803:1196;1972;1972;0;0;0;1972-10;1972-10;1;0;0;0;Коридорная;Двухместное;Общедомовые;0;0;0;0;0;0;0;38;0;38,4;91,5;0;1;0;0;0
8;Общежитие;Карла Маркса ул., д. 49, Армавир г., Краснодарский край, Российская Федерация,  352900;23:38:0114016:43;1963;1963;0;0;0;1963-12;1963-12;1;0;0;4;Коридорная;Смешанное;Общедомовые;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;6
8;Общежитие;Чернышевского ул., д. 3, Армавир г., Краснодарский край, Российская Федерация,  352903;23:38:0106038:388;1975;1975;0;0;0;1975-12;1975-12;1;0;0;0;Коридорная;Смешанное;Общедомовые;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;6
9;Общежитие № 5;Россия, 414004, Южный ФО, Астраханская область, р-н Кировский , Город, Астрахань, ул С.Перовской, д. 96;30:12:010284:853;1972;1972;0;0;0;0001-02;0001-02;1;0;0;1;Коридорная;Трёхместное и более;Общедомовые;0;0;0;1;0;1;93,95;0;0;0;0;0;1;1;10;0
9;Общежитие №3;Россия, 414056, Южный ФО, Астраханская область, р-н Ленинский , Город, Астрахань, ул.Татищева, д. 20 , литера А;30:12:020309:7706;1968;0;0;0;0;0001-02;0001-02;1;0;0;1;Блочная;Трёхместное и более;Общедомовые;0;0;0;1;0;1;89,9;0;37;0;0;0;1;1;10;0
9;Общежитие  № 1;Россия, 414056, Южный ФО, Астраханская область, Ленинский р-н, Город, Астрахань, ул.Татищева, д. 20;30:12:020309:724;1987;0;0;0;0;0001-02;0001-02;1;0;0;0;Блочная;Трёхместное и более;Общедомовые;0;0;0;1;0;1;150;59,7;0;0;0;0;1;1;10;0
9;Общежитие №7;Россия, 414016, Южный ФО, Астраханская область, Трусовский р-н, Город, Астрахань, ул. Водников, д. 20;30:12:041398:1019;1978;0;0;0;0;0001-02;0001-02;1;0;0;0;Коридорная;Трёхместное и более;Общедомовые;0;0;0;1;0;1;71,1;0;0;0;0;0;1;1;10;0
9;Общежитие №2;Россия, 414000, Южный ФО, Астраханская область, Кировский р-н, Город, Астрахань, ул.Бабушкина, д. 61;30:12:010332:72;1938;0;0;0;0;0001-02;0001-02;1;0;0;1;Коридорная;Трёхместное и более;Общедомовые;1;0;1;1;0;1;35,6;0;0;0;0;0;1;1;10;0
9;Общежитие № 4;Россия, 414016, Южный ФО, Астраханская область, Трусовский р-н, Город, Астрахань, ул.Капитанская, д. 26;30:12:041463:57;1952;0;0;0;0;0001-02;0001-02;1;0;0;0;Коридорная;Трёхместное и более;Новые;0;0;0;1;0;1;30,6;0;0;0;0;0;1;1;10;0
9;Общежитие №6;Россия, 414004, Южный ФО, Астраханская область, Кировский р-н, Город, Астрахань, ул.С Перовской, д. 96;30:12:010284:909;1981;0;0;0;0;0001-02;0001-02;1;0;0;0;Блочная;Трёхместное и более;Общедомовые;0;0;0;1;0;1;0;0;0;0;0;0;1;1;10;0
10;Общежитие;мкр. Юбилейный, д. 17-а, г. Иркутск, Иркутская область, Российская Федерация, 664049;38:36:000027:2112;1988;1988;0;0;0;0001-01;0001-01;1;8;0;0;Коридорная;Смешанное;Общедомовые;0;0;0;0;0;0;0;96,1;0;0;0;0;0;0;60;24
10;Общежитие;ул. Байкальская, д. 128, г. Иркутск, Иркутская область, Российская Федерация, 664046;38:36:000023:6594;1966;1966;0;0;0;0;0;1;0;0;4;Коридорная;Смешанное;Общедомовые;0;0;0;0;0;0;0;21,5;0;0;0;0;0;0;60;12
