id;id_givts;name
320;1527;Северо-Восточный федеральный университет имени М.К. Аммосова
321;1530;Псковский государственный университет
325;1544;Северный (Арктический) федеральный университет имени М.В. Ломоносова
327;1693;Арктический государственный институт культуры и искусств
330;100256;Санкт-Петербургский государственный экономический университет
331;2198;Ивановский государственный политехнический университет
343;113437;Севастопольский государственный университет
344;113416;Крымский федеральный университет имени В.И. Вернадского
357;333;Югорский государственный университет
359;189;Орловский государственный университет экономики и торговли
360;267;Северо-Осетинский государственный университет имени Коста Левановича Хетагурова
363;265;Северо-Кавказский горно-металлургический институт (государственный технологический университет)
406;1784;Нижневартовский государственный университет
423;1677;Ивановская государственная сельскохозяйственная академия имени Д.К. Беляева
465;1785;Санкт-Петербургский национальный исследовательский Академический университет имени Ж.И. Алферова Российской академии наук
466;2151;Московский государственный психолого-педагогический университет
483;1888;Международная академия бизнеса и новых технологий (МУБиНТ)
485;1724;Уральский государственный аграрный университет
486;1759;Уральский государственный университет путей сообщения
492;110279;Камский институт искусств и дизайна
498;1562;Казанский государственный медицинский университет Министерства здравоохранения Российской Федерации
500;1670;Казанская государственная академия ветеринарной медицины имени Н.Э. Баумана
501;1764;Казанский государственный аграрный университет
503;1646;Казанский государственный институт культуры
504;1705;Волжский государственный университет водного транспорта
524;1654;Всероссийский государственный университет юстиции (РПА Минюста России)
532;1635;Орловский государственный институт культуры
537;1747;Кубанский государственный университет физической культуры, спорта и туризма
538;1679;Екатеринбургский государственный театральный институт
539;1762;Воронежский государственный институт физической культуры
540;1596;Иркутский государственный медицинский университет
541;1775;Чайковский государственный институт физической культуры
546;1591;Южно-Уральский государственный медицинский университет Министерства здравоохранения Российской Федерации
549;1579;Северный государственный медицинский университет Министерства здравоохранения Российской Федерации
550;1581;Самарский государственный медицинский университет Министерства здравоохранения Российской Федерации
552;1795;Чурапчинский государственный институт физической культуры и спорта
554;1622;Читинская государственная медицинская академия Министерства здравоохранения Российской Федерации
555;1595;Российский национальный исследовательский медицинский университет имени Н.И. Пирогова Министерства здравоохранения Российской Федерации
556;1578;Амурская государственная медицинская академия Министерства здравоохранения Российской Федерации
557;1585;Ярославский государственный медицинский университет Министерства здравоохранения Российской Федерации
566;1572;Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова
570;1638;Омский государственный аграрный университет имени П.А. Столыпина
573;1662;Рязанский государственный агротехнологический университет имени П.А. Костычева
574;1804;Смоленский государственный медицинский университет Министерства здравоохранения Российской Федерации
575;1577;Пермская государственная фармацевтическая академия Министерства здравоохранения Российской Федерации
577;1741;Великолукская государственная академия физической культуры и спорта
578;1681;Вятская государственная сельскохозяйственная академия
579;1786;Курский государственный медицинский университет Министерства здравоохранения Российской Федерации
581;1612;Алтайский государственный медицинский университет Министерства здравоохранения Российской Федерации
583;1589;Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого
584;1661;Саратовский государственный аграрный университет имени Н.И. Вавилова
590;1728;Кубанский государственный медицинский университет Министерства здравоохранения Российской Федерации
598;1787;Российский государственный университет физической культуры, спорта, молодежи и туризма (ГЦОЛИФК)
600;1790;Смоленская государственная сельскохозяйственная академия
601;1558;Дагестанский государственный медицинский университет Министерства здравоохранения Российской Федерации
602;1594;Воронежский государственный медицинский университет имени Н.Н. Бурденко Министерства здравоохранения  Российской Федерации
603;1796;Пермский государственный медицинский университет имени академика Е.А. Вагнера Министерства здравоохранения Российской Федерации
608;1742;Арктический государственный агротехнологический университет
615;1755;Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург
619;113221;Керченский государственный морской технологический университет
620;1739;Московский государственный технический университет гражданской авиации
621;1601;Калининградский государственный технический университет
622;1749;Смоленская государственная академия физической культуры, спорта и туризма
623;1563;Астраханский государственный технический университет
626;1602;Мурманский государственный технический университет
627;1748;Поволжская государственная академия физической культуры, спорта и туризма
628;1798;Дипломатическая академия Министерства иностранных дел Российской Федерации
633;1586;Кировский государственный медицинский университет Министерства здравоохранения Российской Федерации
634;1734;Северо-Западный государственный медицинский университет имени И.И. Мечникова Министерства здравоохранения Российской Федерации
635;1570;Поволжский государственный университет телекоммуникаций и информатики
636;1626;Дальневосточный государственный медицинский университет Министерства здравоохранения Российской Федерации
637;1608;Кемеровский государственный медицинский университет Министерства здравоохранения Российской Федерации
638;1761;Сибирский государственный университет физической культуры и спорта
639;1756;Дальневосточный государственный технический рыбохозяйственный университет
643;1619;Новосибирский государственный медицинский университет Министерства здравоохранения Российской Федерации
645;1666;Кузбасская государственная сельскохозяйственная академия
647;1782;Кубанский государственный аграрный университет имени И.Т. Трубилина
648;1750;Камчатский государственный технический университет
649;1609;Ивановская государственная медицинская академия Министерства здравоохранения Российской Федерации
650;1624;Оренбургский государственный медицинский университет Министерства здравоохранения Российской Федерации
651;1779;Дальневосточная государственная академия физической культуры
